ThreadPoolSize;RunNr;Runtime;Memory;Cache-Misses;Cache-References;Cache-Miss-Rate
47;3;9472;288207680;634040;3645585;0.17391996071961016
47;4;9447;279223232;360171;3110565;0.11578957520579058
47;5;9440;270104528;352740;3180376;0.1109114142478751
47;6;9440;261106408;331939;3024095;0.1097647395336456
47;7;9441;251985216;376436;3353232;0.11226064883074001
47;8;9458;243006032;333518;3122135;0.10682369596446022
47;9;9430;233884752;493621;3571710;0.13820298960441918
47;10;9463;224886688;483742;3439106;0.14065922946254056
48;0;0;224886688;0;0;0.0
48;1;9446;215562224;493755;3567203;0.13841516728933004
48;2;9435;206393808;493042;3293489;0.14970203331482207
48;3;9453;197203840;372049;3212083;0.11582795338725681
48;4;9442;497946056;369891;3219234;0.114900314795383
48;5;9467;488680352;362527;3238134;0.11195552747353878
